text,ix,sentence,проведение выборов,качество управления,качество здравоохранения,строительство атомной электростанции,развитие промышленности,развитие сельского хозяйства,состояние жилья,качество и стоимость услуг ЖКХ,состояние дорожной сети,газификация
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,5,Наше отношение к этим выборам очень серьезное.,1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,6, В прошлые годы в выборах мэра Москвы принимал участие мой первый заместитель Иван Иванович Мельников.,1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,7, Мы шли на выборы с программой «От города проблем – к городу будущего!,1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,15, Сегодня во многих регионах России недокомплект школ и медицинских учреждений составляет от 30 до 50 процентов.,0,0,1,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,19,На прошлых выборах в Москве нашим кандидатом был Валентин Валентинович Кумин.,1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,21, Он особое внимание уделил развитию базовых отраслей производства и продвижению научно-технического прогресса.,0,0,0,0,1,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,27, При тайном голосовании он получил соответствующую поддержку.,1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,73,Нами накоплен уникальный опыт созидательной работы народных предприятий.,0,0,0,0,1,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,75,При нашей поддержке сельскохозяйственное машиностроение за последний год прибавило 28 процентов.,0,0,0,0,0,1,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,81, Сегодня Орловщина впервые в стране получила по шесть тонн зерна на человека.,0,0,0,0,0,1,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,88,"Какие бы ни были успешные кандидаты, но они смогут реализовать свои созидательные программы без массовой поддержки компартии и лево-патриотических сил.",1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,107,"Вначале на большом экране показали получасовой документальный фильм, в котором содержались сведения о личности кандидата на должность мэра Москвы Л.",1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,113," Опираясь на статистику, наш кандидат рассказал о том, какой должна быть Москва будущего и что мешает ей стать таковой сейчас.",1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,118," Красной нитью через всю презентацию проходили проблемы промышленности Москвы и проблемы жителей столицы, особенно молодых семей.",0,0,0,0,1,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,129, Отсутствие медицинских учреждений в шаговой доступности негативно скажется на здоровье москвичей.,0,0,1,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,138,"Ещё одна цифра, на которой сделал акцент кандидат это – 0.",1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,140," Власти не слышат и не хотят слышать москвичей, и это факт», – уверен Л.",0,1,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,150,Большое внимание в программе КПРФ на выборах мэра уделяется экологическим проблемам.,1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,154," Сейчас власти стремятся освоить каждый метр и закатать в асфальт леса, зелень в которых, на самом деле, жизненно необходима для формирования здорового микроклимата города.",0,0,0,0,0,0,0,0,1,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,162," Среди вопросов, заданных кандидату через форму на сайте вернембудущее.",1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,164," По мнению кандидата на должность мэра, бюджет Москвы в 4,1 трлн рублей позволяет выделить 20 млрд на обеспечение всех ребят классной школьной формой, и это не популизм, а строгий расчёт.",1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,174," И опора на советский опыт — фундамент для выхода из кризиса как всей страны, так и возрождения московской промышленности и городской инфраструктуры.",0,0,0,0,1,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,175," И вернуть будущее можно уже сейчас, 10 сентября 2023 года – в единый день голосования».",1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,184,Программа Московского городского отделения КПРФ на выборах Мэра Москвы в 2023 г.,1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,189,"В подобной обстановке выборы в Москве будут иметь важнейшее значение как для судьбы столичного мегаполиса, так и для всей страны.",1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,191," Коммунисты идут на выборы, чтобы навести порядок и добиться социалистического возрождения нашего Отечества.",1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,196,"Из некогда мощного научно-производственного центра она превратилась в парализованную пробками торгово-развлекательную площадку с бесконтрольной коммерческой застройкой промзон, вырубкой деревьев и парков, безмерно дорогим жильём, коммерциализированным здравоохранением, вечным перекладыванием плитки и помпезным благоустройством, сохраняющейся тяжелейшей зависимостью от импорта и загазованным воздухом.",0,0,1,0,0,0,0,0,1,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,197," Видимость благополучия даётся ценой деградации социальной сферы: записаться на приём к специалисту в поликлинику всё сложнее, школа перестала воспитывать детей и даёт всё меньше знаний, порядка 700 000 москвичей живёт в нищете.",0,0,1,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,200," Не та, которую рисуют в буклетах кандидата от власти.",1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,210,"За этими декорациями не спрячешь шумные автомагистрали, построенные прямо под окнами жилых домов, не утаишь растущие тарифы на транспорт и ЖКХ, не скроешь сокращение числа больниц и поликлиник, разрушение исторических памятников.",0,0,1,0,0,0,1,1,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,212,"Когда доходит до выборов, представители «элиты» либо хотят сидеть во власти до гробовой доски, либо стремятся сменить одну группировку, контролирующую денежные потоки, на другую.",1,0,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,223," Вместе с нами на стороне народа стоят патриотичные профессионалы, видные учёные и эксперты, практики и управленцы – это мощная поддержка для будущего решения вопросов столичного хозяйства.",0,1,0,0,0,1,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,230,"Действующий мэр хочет сделать Москву красивой в глазах чиновников федерального центра, иностранцев и так называемых инвесторов – преимущественно крупного олигархического бизнеса.",0,1,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,234,"В результате преступного разрушения СССР Россия оказалась втянута в мировую капиталистическую экономику на правах зависимого сырьевого придатка, ориентированного, главным образом, на вывоз зачастую невосполнимых природных ресурсов и утратившего большую часть высокотехнологических производств.",0,0,0,0,1,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,241,Идёт систематическая ликвидация промышленных предприятий.,0,0,0,0,1,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,242, Занимающие порядка 20% площади города промышленные зоны почти полностью осваиваются с целью расчистки места для строительства всевозможных коммерческих площадок и ТРЦ – сегодня в промышленности заняты немногим более 5% работающих в Москве людей.,0,0,0,0,1,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,245," Ярким символом провала импортозамещения стал выпуск китайских внедорожников на заводе «Москвич», да ещё и по крайне завышенным ценам.",0,0,0,0,1,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,250,"В задавленном положении находятся люди труда: как широкий слой наёмных работников, так и сотрудники предприятий.",0,0,0,0,1,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,253,"Поборами, отчётностями и диктатурой монополистов связан по рукам малый и средний бизнес – способный выступить одним из инициаторов оживления на рынке потребительских товаров, услуг и производства.",0,0,0,0,1,0,0,1,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,258,Городу предстоит начать управлять своей экономикой.,0,1,0,0,0,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,263,Основные усилия будут сосредоточены на сохранении существующих производственных предприятий (в том числе предприятий ВПК на территории города Москвы).,0,0,0,0,1,0,0,0,0,0
В Москве состоялась презентация программы кандидата на должность мэра Москвы.txt,266," Следовательно, экономическая стратегия столицы должна быть нацелена на построение современного города: города науки, производства и высоких технологий.",0,0,0,0,1,0,0,0,0,0
